"","SubjectTag","CASEID","S00_H40"
"680",68000,680,40.1050067204301
"681",68100,681,23.1602822580645
"682",68200,682,16.660271169097
"683",68300,683,62.5543617293425
"684",68400,684,60.2217741935484
"685",68500,685,19.9974798387097
"686",68600,686,66.6730621642364
"687",68700,687,39.3598790322581
"688",68800,688,51.9058582757739
"689",68900,689,NA
"690",69000,690,45.6212197580645
"691",69100,691,NA
"692",69200,692,45.1927923387097
"693",69300,693,NA
"694",69400,694,NA
"695",69500,695,44.4647646915386
"696",69600,696,NA
"697",69700,697,36.6213037634409
"698",69800,698,42.5569199283704
"699",69900,699,50.4336043360434
"700",70000,700,NA
"701",70100,701,16.4852150537634
"702",70200,702,61.6717830647224
"703",70300,703,26.6885080645161
"704",70400,704,50.4695666835272
"705",70500,705,NA
"706",70600,706,32.972200903897
"707",70700,707,56.1302923387097
"708",70800,708,68.1098790322581
"709",70900,709,61.6845740598619
"710",71000,710,NA
"711",71100,711,33.4996162701458
"712",71200,712,67.0316363946448
"713",71300,713,20.57431568176
"714",71400,714,53.1186995967742
"715",71500,715,25.1321736164407
"716",71600,716,27.3215656178051
"717",71700,717,63.3282751643905
"718",71800,718,57.9032258064516
"719",71900,719,40.7124584292658
"720",72000,720,26.8546942952162
"721",72100,721,49.7154779969651
"722",72200,722,29.5858534946237
"723",72300,723,39.1759072580645
"724",72400,724,50.44128933231
"725",72500,725,80.5640828856485
"726",72600,726,67.9309475806452
"727",72700,727,36.7124495967742
"728",72800,728,27.8140189306728
"729",72900,729,67.7453739234246
"730",73000,730,75.2750063954976
"731",73100,731,50.7115255376344
"732",73200,732,41.6683467741936
"733",73300,733,56.2484011256076
"734",73400,734,61.6973650550013
"735",73500,735,25.5052443080072
"736",73600,736,52.3407521105142
"737",73700,737,28.715784088002
"738",73800,738,NA
"739",73900,739,49.4884072580645
"740",74000,740,75.4046535154274
"741",74100,741,65.3894790085989
"742",74200,742,91.2325071657393
"743",74300,743,86.3575268817204
"744",74400,744,38.5959751001961
